EOMONTH,Customer Name,Product Level 1,Product Level 2,Product Level 3,Product Level 4,      Sum of Net Amount      ,Comment
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - OTHER,,"19,310",
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,LABEL - PLAIN,PLAIN-THERMAL LABEL-19*13,,"6,759",
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,LABEL - PLAIN,THERMAL LABLE ROUND - 22MM DIA,,"50,207",
31-01-26,AFAPACK ENTERPRISES LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"2,510",
31-01-26,AFAPACK ENTERPRISES LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"172,704",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 120 PGS CB NP SL,,"178,621",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 120 PGS CB NP SQ,,"7,145",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 200 PGS CB NP SL,,"125,034",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 200 PGS CB NP SQ,,"42,869",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 96 PGS CB NP SL,,"35,724",
31-01-26,ANYTIME LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A4 96 PGS CB NP SQ,,"7,145",
31-01-26,ARCHDIOCESE OF NRB ST ARNOLD JANSEN SCH,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"3,414",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,EXERCISE BOOKS - SWARA,SWARA EXERCISE BOOK -  A5 80 PGS MANILA NP SQ,,"5,443",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS MANILA BP SL,,"879,174",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS MANILA BP SQ,,"97,686",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 96 PGS MC BP GRAPH - COPY,,"49,541",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 80 PGS MANILA BP PLAIN,,"18,142",
31-01-26,ASTRO TECHWELL LIMITED,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 80 PGS MANILA BP SL,,"326,552",
31-01-26,AT YOUR SERVICE LTD,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 57*47MM,,"5,310",
31-01-26,AUTO INDUSTRIES LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"13,034",
31-01-26,AUTO INDUSTRIES LTD,LABEL,KEBS,PRINTED KEBS LABEL - 19*13MM - SMALL,,"1,277",
31-01-26,AUTO INDUSTRIES LTD,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"58,020",
31-01-26,AUTO INDUSTRIES LTD,OTHER,PLATE CHARGE & ORIGINATION,(blank),,"17,379",
31-01-26,BAHATI VENTURES LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"45,406",
31-01-26,BAHATI VENTURES LTD,ETR,ETR PRE - PRINTED,ETR THERMAL RECEIPT ROLLS PRE-PRINTED 79*80MM,,"37,839",
31-01-26,BAHATI VENTURES LTD,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"29,458",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BASE,CAKE BASE 10*10,,"98,373",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BASE,CAKE BASE 12*12,,"177,096",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BASE,CAKE BASE 14*14,,"17,974",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BASE,CAKE BASE 8*8,,"11,351",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BOX  PLAIN,CAKE BOX 10*10*4,,"189,195",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BOX  PLAIN,CAKE BOX 5*5*3,,"70,947",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BOX  PLAIN,CAKE BOX 5*5*4,,"113,514",
31-01-26,BAHATI VENTURES LTD,PACKAGING,CAKE BOX  PLAIN,CAKE BOX 8*8*4,,"28,379",
31-01-26,BARGAIN ENTERPRISES,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"1,740",
31-01-26,BARGAIN ENTERPRISES,OTHER,PLATE CHARGE & ORIGINATION,(blank),,"2,414",
31-01-26,BARIKO INDUSTRIES LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B,,"2,537,314",
31-01-26,BEVITE ENTERPRISES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 120 PGS CB BP SQ,,"1,472",
31-01-26,BEVITE ENTERPRISES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS MANILA BP SL,,"6,288",
31-01-26,BEVITE ENTERPRISES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS MANILA BP SQ,,"6,288",
31-01-26,BEVITE ENTERPRISES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 64 PGS MANILA NP SL,,"6,726",
31-01-26,BEVITE ENTERPRISES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 64 PGS MANILA NP SQ,,"6,726",
31-01-26,BHAVINN STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"105,261",
31-01-26,BHAVINN STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5 X 11- 2PART,,"65,496",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"2,690,395",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"234,986",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"4,405,371",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SQ,,"636,440",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"1,140,328",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"182,453",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"981,754",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SQ,,"303,503",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SL,,"146,196",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 200 PGS CB BANK SQ,,"97,464",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SL,,"220,269",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SQ,,"110,134",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB PLAIN,,"30,838",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 64 PGS CB BANK SL,,"274,458",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SL,,"541,646",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SQ,,"252,578",
31-01-26,BHAVINN STATIONERS LIMITED,EXERCISE BOOK,(blank),(blank),,"3,000,000",
31-01-26,BHAVINN STATIONERS LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE RULLED PAPER A4 BANK,,"888,871",
31-01-26,BIDWOOD SUITES,OTHER,PRINTING JOBS,(blank),,"27,187",
31-01-26,BOHEMIAN FLOWERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A2 NEWSPRINT,,"123,088",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY HI-5,HI-5 COUNTER BOOK 3Q WHITE BANK,,"5,561",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 3Q BANK,,"12,166",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 4Q BANK,,"12,919",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"29,352",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE SCHEME OF WORK 2Q BANK,,"3,244",
31-01-26,BOOKMART K LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,TEACHERS PREPARATION 2 QUIRE BP,,"8,110",
31-01-26,BRAZAFRIC INDUSTRIES LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5 X 11 - 5PART,,"66,868",
31-01-26,BRAZAFRIC INDUSTRIES LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE COUNTER BOOK 6Q BANK,,"1,971",
31-01-26,BRAZAFRIC INDUSTRIES LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,STOCK CARD A4,,"1,357",
31-01-26,BRAZAFRIC INDUSTRIES LIMITED,LABEL,KEBS,PRINTED KEBS LABEL-19*25MM - BIG,,"3,782",
31-01-26,BRAZAFRIC INDUSTRIES LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - OTHER,,"1,938",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"7,100",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"6,919",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 48 PGS CB BANK SL,,"7,040",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 64 PGS CB BANK SL,,"7,641",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 80 PGS CB BANK SL,,"6,798",
31-01-26,BROMAR GENERAL AGENCIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SL,,"6,798",
31-01-26,CADENZA PRINTERS,TRADING,PRINTING PAPER,PRINTING PAPER B,,"152,286",
31-01-26,CAPRIN STATIONERS LTD,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE HARD COVER A5 BANK,,"18,074",
31-01-26,CARE PRIME GENERAL MERCHANTS,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 300GSM 51*76CM,,"162,631",
31-01-26,Carmax Communication Company,EXERCISE BOOK,(blank),(blank),,"120,501",
31-01-26,CARRY VENTURES,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 14.5 X 11-1 PART LINE FLOW,,"182,483",
31-01-26,CHAI LOGISTICS CENTRE,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"3,008",
31-01-26,CHANDARANA SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"72,107",
31-01-26,CHANDARIA INDUSTRIES LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"69,440",
31-01-26,CHANDARIA INDUSTRIES LIMITED,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*60MM,,"13,324",
31-01-26,CHANDARIA INDUSTRIES LIMITED,ETR,ETR PLAIN,ETR THERMAL RECEIPT ROLL PLAIN 79*80MM,,"7,965",
31-01-26,CHARIKEN OFFICE XPRESS,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY- PRINCE,PRINCE LOOSE LEAF PAD BANK 70 SHEETS,,"4,789",
31-01-26,CHIRAG AFRICA LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 4 PART,,"30,711",
31-01-26,CHIRAG AFRICA LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,PHOTOCOPY PAPER A4,(blank),,"18,653",
31-01-26,CHRISTABEL INTERNATIONAL LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"72,828",
31-01-26,CHRISTABEL INTERNATIONAL LTD,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"36,414",
31-01-26,CHROME PARTNERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 300GSM 51*76CM,,"57,931",
31-01-26,CLASSICS IRONMONGERS,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 8 -2PART,,"42,397",
31-01-26,CLEANSELF SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 14.5 X 11 - 2 PART,,"33,650",
31-01-26,CLEANSELF SUPERMARKET LTD,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 1 PART - COPY,,"92,297",
31-01-26,CMI CHRIST ACADEMY KAMULU,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB BP SL,,0,
31-01-26,CMI CHRIST ACADEMY KAMULU,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 120 PGS CB BP SQ,,0,
31-01-26,CMI CHRIST ACADEMY KAMULU,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A5 96 PGS CB BP SL,,0,
31-01-26,CORUM AGENCIES LIMITED,LABEL,LABEL - PLAIN,PLAIN - THERMAL LABEL - OTHER,,"8,746",
31-01-26,DAHNI AGENCIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB NP SL,,"22,482",
31-01-26,DAHNI AGENCIES,EXERCISE BOOK,SCHOOL EXERCISE BOOKS,SCHOOL EXERCISE BOOK -  A4 200 PGS CB NP SQ,,"7,494",
31-01-26,DAMARIS SYOWAI MUTUKU,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"112,395",
31-01-26,DAMARIS SYOWAI MUTUKU,TRADING,PRINTING PAPER,PRINTING PAPER B60GSM,,"261,245",
31-01-26,DECEMBER WASTE SERVICE,OTHER,WHITE WASTE PAPER,(blank),,"70,942",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 2 PART,,"85,475",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"16,281",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"129,860",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5X11 - 6PART,,"79,467",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 12  - 2 PART,,"95,457",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,BINDING GLUE 20 LITRES,,"15,990",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"53,301",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,BROWN PAPER,BROWN PAPER MEDIUM 70X100,,"3,489",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"239,853",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT - COLOURED,,"75,590",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B50GSM,,"62,023",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B80GSM,,"87,219",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER CB 250 GSM,,"52,089",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 160GSM 61*86CM,,"40,121",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 220GSM 51*76CM,,"25,584",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 300GSM 51*76CM,,"9,885",
31-01-26,DELIGHT PRINTERS AND STATIONERS LIMITED,TRADING,PRINTING PAPER,STRAWBOARD,,"14,537",
31-01-26,DELIGHT PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 - 3 PART,,"-15,892",
31-01-26,DELIGHT PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PLAIN,COMPUTER PAPER PLAIN 9.5 X 11 X 5.5 -2 PART PAYSLIP,,"-62,434",
31-01-26,DELIGHT PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED  9.5 X 11- 3PART,,"-87,029",
31-01-26,DELIGHT PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE PRINTED 9.5X11 - 6PART,,"-77,569",
31-01-26,DELIGHT PRINTERS LIMITED,COMPUTER PAPER AND PHOTOCOPY PAPER,COMPUTER PAPER PRINTED,COMPUTER PAPER PRE-PRINTED 9.5 X 12  - 2 PART,,"-61,488",
31-01-26,DELIGHT PRINTERS LIMITED,GENERAL STATIONERY AND PURCHASE TRADING,GENERAL STATIONERY - PURCHASE TRADING,BINDING GLUE 20 LITRES,,"-6,243",
31-01-26,DELIGHT PRINTERS LIMITED,LABEL,LABEL - PRE PRINTED,PRINTED LABELS,,"-52,028",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT,,"-254,938",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER A1 NEWSPRINT - COLOURED,,"-52,974",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B50GSM,,"-60,542",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER B80GSM,,"-82,299",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER CB 250 GSM,,"-30,507",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 160GSM 61*86CM,,"-17,406",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 220GSM 51*76CM,,"-24,974",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,PRINTING PAPER MANILA 300GSM 51*76CM,,"-9,649",
31-01-26,DELIGHT PRINTERS LIMITED,TRADING,PRINTING PAPER,STRAWBOARD,,"-14,189",
31-01-26,DENNIS MULWA,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"6,189",
31-01-26,DENNIS MULWA,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SQ,,"6,189",
31-01-26,DENNIS MULWA,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 96 PGS CB BANK SQ,,"6,189",
31-01-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"96,552",
31-01-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 200 PGS CB BANK SL,,"99,448",
31-01-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"46,828",
31-01-26,DHONI EMPORIUM,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A5 120 PGS CB BANK SL,,"23,897",
31-01-26,DISCOUNT OFFICE SUPPLIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 120 PGS CB BANK SL,,"145,366",
31-01-26,DISCOUNT OFFICE SUPPLIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SL,,"235,008",
31-01-26,DISCOUNT OFFICE SUPPLIES,EXERCISE BOOK,EXERCISE BOOK - PRINCE,PRINCE EXERCISE BOOK A4 96 PGS CB BANK SQ,,"141,005",
